AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
4,34.91,0.13,46.04,22,231.28,231.28,259.69
5,49.78,0.17,65.49,22,231.28,231.28,259.69
6,65.43,0.24,79.21,22,231.28,231.28,259.69
7,81.82,0.29,94.06,22,231.28,231.28,259.69
8,98.06,0.35,126.98,22,231.28,231.28,259.69
9,115.48,0.44,132.85,22,231.28,231.28,259.69
10,133.14,0.51,147.94,22,231.28,231.28,259.69
11,151.03,0.59,166.57,22,231.28,231.28,259.69
12,168.03,0.68,182.82,22,231.28,231.28,259.69
13,184.47,0.75,215.76,22,231.28,231.28,259.69
14,198.72,0.81,219.25,22,231.28,231.28,259.69
15,211.49,0.86,224.8,22,231.28,231.28,259.69
16,220.49,0.9,234.08,22,231.28,231.28,259.69
17,227.23,0.93,241.42,22,231.28,231.28,259.69
18,231.28,0.94,245.64,22,231.28,231.28,259.69
19,231.28,0.96,249.16,22,231.28,231.28,259.69
20,231.28,0.97,251.62,22,231.28,231.28,259.69
21,231.28,0.98,255.62,22,231.28,231.28,259.69
22,231.28,1,259.69,22,231.28,231.28,259.69
