AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
4,80.8,0.16,95.42,24,480,480,529.35
5,103.67,0.21,115.76,24,480,480,529.35
6,128.38,0.25,141.74,24,480,480,529.35
7,153.89,0.3,168.61,24,480,480,529.35
8,181.86,0.36,194.65,24,480,480,529.35
9,211.2,0.4,243.52,24,480,480,529.35
10,242.35,0.47,256.39,24,480,480,529.35
11,275.62,0.54,292.37,24,480,480,529.35
12,310.44,0.61,328.66,24,480,480,529.35
13,343.49,0.68,363.27,24,480,480,529.35
14,374.65,0.72,415.48,24,480,480,529.35
15,404.1,0.8,426.35,24,480,480,529.35
16,428.42,0.85,451.42,24,480,480,529.35
17,448.87,0.89,472.98,24,480,480,529.35
18,465.37,0.92,491.21,24,480,480,529.35
19,474.75,0.95,502.55,24,480,480,529.35
20,480,0.96,509.53,24,480,480,529.35
21,480,0.97,515.78,24,480,480,529.35
22,480,0.98,520.79,24,480,480,529.35
23,480,0.99,525.55,24,480,480,529.35
24,480,1,529.35,24,480,480,529.35
