AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
3,180,0.13,275,17,1230,1230,1417
4,270,0.19,374,17,1230,1230,1417
6,370,0.27,526,17,1230,1230,1417
7,470,0.32,627,17,1230,1230,1417
8,570,0.37,732,17,1230,1230,1417
9,630,0.4,797,17,1230,1230,1417
10,730,0.45,900,17,1230,1230,1417
11,830,0.5,967,17,1230,1230,1417
12,930,0.55,1045,17,1230,1230,1417
13,1030,0.61,1105,17,1230,1230,1417
14,1130,0.66,1186,17,1230,1230,1417
15,1230,0.72,1217,17,1230,1230,1417
16,1230,0.83,1305,17,1230,1230,1417
17,1230,1,1417,17,1230,1230,1417
