AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
4,101.23,0.14,127.71,20,670.71,670.71,712.69
5,144.36,0.21,175.42,20,670.71,670.71,712.69
6,189.74,0.27,221,20,670.71,670.71,712.69
7,237.27,0.34,269.84,20,670.71,670.71,712.69
8,284.37,0.4,316.04,20,670.71,670.71,712.69
9,334.82,0.47,367.86,20,670.71,670.71,712.69
10,386.16,0.55,417.42,20,670.71,670.71,712.69
11,437.98,0.62,471.45,20,670.71,670.71,712.69
12,487.27,0.68,521.47,20,670.71,670.71,712.69
13,534.93,0.75,570.64,20,670.71,670.71,712.69
14,576.28,0.81,612.62,20,670.71,670.71,712.69
15,613.31,0.86,651.9,20,670.71,670.71,712.69
16,639.41,0.9,668.82,20,670.71,670.71,712.69
17,658.67,0.93,680.18,20,670.71,670.71,712.69
18,670.71,0.94,692.35,20,670.71,670.71,712.69
19,670.71,0.98,702.56,20,670.71,670.71,712.69
20,670.71,1,712.69,20,670.71,670.71,712.69
